metric,count,first,last,drift,mean,std,min,max
Step,10,20.0,200.0,180.0,110.0,57.445626465380286,20.0,200.0
Time (ps),10,0.01,0.1,0.09000000000000001,0.05499999999999999,0.028722813232690145,0.01,0.1
Potential Energy (kJ/mole),10,-83933.98265775315,-82782.96428767947,1151.0183700736816,-83290.28893503213,333.92785440379635,-83933.98265775315,-82782.96428767947
Kinetic Energy (kJ/mole),10,2605.6313815915937,2847.1773551490974,241.54597355750366,2666.7921463140665,141.943268892102,2358.028129844121,2847.1773551490974
Total Energy (kJ/mole),10,-81328.35127616156,-79935.78693253038,1392.5643436311802,-80623.49678871807,451.0607987704272,-81328.35127616156,-79935.78693253038
Temperature (K),10,60.71595905013135,66.34442036774232,5.628461317610963,62.14111631243607,3.3075368075396754,54.946352113406455,66.34442036774232
Box Volume (nm^3),10,52.72519371216118,52.72519371216118,0.0,52.725193712161186,7.105427357601002e-15,52.72519371216118,52.72519371216118
Density (g/mL),10,0.9784032725358506,0.9784032725358506,0.0,0.9784032725358506,0.0,0.9784032725358506,0.9784032725358506
Speed (ns/day),10,0.0,0.866,0.866,0.8099000000000001,0.2710215674074667,0.0,0.936
